"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKTB  11/23","17/11/2023","GB00BP21H718","Bills","N/A","20/11/2023","100.000000","N/A","N/A","N/A","N/A"
"UKTB  11/23","17/11/2023","GB00BP21L579","Bills","N/A","27/11/2023","99.898953","N/A","5.274214","0.019159","N/A"
"UKTB  12/23","17/11/2023","GB00BP21NS45","Bills","N/A","04/12/2023","99.798110","N/A","5.274214","0.038279","N/A"
"UKTB  12/23","17/11/2023","GB00BP21PX38","Bills","N/A","11/12/2023","99.698016","N/A","5.264667","0.057361","N/A"
"UKTB  12/23","17/11/2023","GB00BP21T200","Bills","N/A","18/12/2023","99.595237","N/A","5.297815","0.076402","N/A"
"UKTB  12/23","17/11/2023","GB00BP21WN23","Bills","N/A","27/12/2023","99.468177","N/A","5.274414","0.100831","N/A"
"UKTB  01/24","17/11/2023","GB00BP21YP86","Bills","N/A","02/01/2024","99.387683","N/A","5.229592","0.117087","N/A"
"UKTB  01/24","17/11/2023","GB00BP221835","Bills","N/A","08/01/2024","99.301272","N/A","5.241432","0.133309","N/A"
"UKTB  01/24","17/11/2023","GB00BP225471","Bills","N/A","15/01/2024","99.200554","N/A","5.252666","0.152198","N/A"
"UKTB  01/24","17/11/2023","GB00BP227Q38","Bills","N/A","22/01/2024","99.100109","N/A","5.261000","0.171050","N/A"
"UKTB  01/24","17/11/2023","GB00BP22BH25","Bills","N/A","29/01/2024","99.003209","N/A","5.249883","0.189869","N/A"
"UKTB  02/24","17/11/2023","GB00BP22DJ88","Bills","N/A","05/02/2024","98.897631","N/A","5.283760","0.208633","N/A"
"UKTB  02/24","17/11/2023","GB00BP22GV14","Bills","N/A","12/02/2024","98.800588","N/A","5.275000","0.227377","N/A"
"UKTB  02/24","17/11/2023","GB00BP22LV66","Bills","N/A","19/02/2024","98.700075","N/A","5.282656","0.246074","N/A"
"UKTB  02/24","17/11/2023","GB00BP22PQ93","Bills","N/A","26/02/2024","98.599664","N/A","5.289609","0.264733","N/A"
"UKTB  03/24","17/11/2023","GB00BP22R525","Bills","N/A","04/03/2024","98.499356","N/A","5.296000","0.283354","N/A"
"UKTB  03/24","17/11/2023","GB00BP22SR16","Bills","N/A","11/03/2024","98.397453","N/A","5.307645","0.301932","N/A"
"UKTB  03/24","17/11/2023","GB00BP22X549","Bills","N/A","18/03/2024","98.295655","N/A","5.318254","0.320471","N/A"
"UKTB  03/24","17/11/2023","GB00BP22ZT23","Bills","N/A","25/03/2024","98.193963","N/A","5.328000","0.338971","N/A"
"UKTB  04/24","17/11/2023","GB00BP231Y24","Bills","N/A","02/04/2024","98.083477","N/A","5.322384","0.360087","N/A"
"UKTB  04/24","17/11/2023","GB00BP234P48","Bills","N/A","08/04/2024","98.000695","N/A","5.318814","0.375893","N/A"
"UKTB  04/24","17/11/2023","GB00BP237H78","Bills","N/A","15/04/2024","97.904203","N/A","5.315246","0.394299","N/A"
"UKTB  04/24","17/11/2023","GB00BP239S24","Bills","N/A","22/04/2024","97.807806","N/A","5.312238","0.412669","N/A"
"UKTB  04/24","17/11/2023","GB00BP23D572","Bills","N/A","29/04/2024","97.696227","N/A","5.346000","0.430934","N/A"
"UKTB  05/24","17/11/2023","GB00BP23G369","Bills","N/A","07/05/2024","97.591574","N/A","5.330000","0.451862","N/A"
"UKTB  05/24","17/11/2023","GB00BP23JV51","Bills","N/A","13/05/2024","97.508198","N/A","5.330000","0.467505","N/A"
"UKTB  05/24","17/11/2023","GB00BP23N688","Bills","N/A","20/05/2024","97.411106","N/A","5.330000","0.485721","N/A"
"UKT 0.125 01/24","17/11/2023","GB00BMGR2791","Conventional","0.125","31/01/2024","99.057","99.095043","4.949256","0.195353","0.038043"
"UKT 1 04/24","17/11/2023","GB00BFWFPL34","Conventional","1.000","22/04/2024","98.355","98.434235","4.974013","0.413245","0.079235"
"UKT 2.75 09/24","17/11/2023","GB00BHBFH458","Conventional","2.750","07/09/2024","98.338","98.897066","4.879672","0.768201","0.559066"
"UKT 0.25 01/25","17/11/2023","GB00BLPK7110","Conventional","0.250","31/01/2025","94.911","94.987087","4.675580","1.166442","0.076087"
"UKT 5 03/25","17/11/2023","GB0030880693","Conventional","5.000","07/03/2025","100.447","101.463484","4.635290","1.231966","1.016484"
"UKT 0.625 06/25","17/11/2023","GB00BK5CVX03","Conventional","0.625","07/06/2025","94.348","94.631470","4.447219","1.503277","0.283470"
"UKT 2 09/25","17/11/2023","GB00BTHH2R79","Conventional","2.000","07/09/2025","95.772","96.178593","4.473686","1.727718","0.406593"
"UKT 3.5 10/25","17/11/2023","GB00BPCJD880","Conventional","3.500","22/10/2025","98.115","98.392322","4.534379","1.827736","0.277322"
"UKT 0.125 01/26","17/11/2023","GB00BL68HJ26","Conventional","0.125","30/01/2026","91.561","91.599383","4.193000","2.144656","0.038383"
"UKT 1.5 07/26","17/11/2023","GB00BYZW3G56","Conventional","1.500","22/07/2026","93.295","93.788207","4.178195","2.559767","0.493207"
"UKT 0.375 10/26","17/11/2023","GB00BNNGP668","Conventional","0.375","22/10/2026","89.630","89.659713","4.183644","2.846228","0.029713"
"UKT 4.125 01/27","17/11/2023","GB00BL6C7720","Conventional","4.125","29/01/2027","99.693","100.970853","4.227156","2.922851","1.277853"
"UKT 1.25 07/27","17/11/2023","GB00BDRHNP05","Conventional","1.250","22/07/2027","90.586","90.997005","4.034174","3.508607","0.411005"
"UKT 4.25 12/27","17/11/2023","GB00B16NNR78","Conventional","4.250","07/12/2027","100.698","102.625596","4.060714","3.617744","1.927596"
"UKT 0.125 01/28","17/11/2023","GB00BMBL1G81","Conventional","0.125","31/01/2028","85.096","85.134043","4.020763","4.100686","0.038043"
"UKT 4.5 06/28","17/11/2023","GB00BMF9LG83","Conventional","4.500","07/06/2028","101.600","103.468852","4.110187","4.008510","1.868852"
"UKT 1.625 10/28","17/11/2023","GB00BFX0ZL78","Conventional","1.625","22/10/2028","89.661","89.789757","3.957746","4.638719","0.128757"
"UKT 6 12/28","17/11/2023","GB0002404191","Conventional","6.000","07/12/2028","108.996","111.717311","4.012474","4.265588","2.721311"
"UKT 0.5 01/29","17/11/2023","GB00BLPK7227","Conventional","0.500","31/01/2029","83.659","83.811174","4.015881","5.018120","0.152174"
"UKT 0.875 10/29","17/11/2023","GB00BJMHB534","Conventional","0.875","22/10/2029","83.936","84.005331","3.943668","5.650717","0.069331"
"UKT 0.375 10/30","17/11/2023","GB00BL68HH02","Conventional","0.375","22/10/2030","78.476","78.505713","3.961299","6.689260","0.029713"
"UKT 4.75 12/30","17/11/2023","GB00B24FF097","Conventional","4.750","07/12/2030","104.808","106.962372","3.961010","5.859266","2.154372"
"UKT 0.25 07/31","17/11/2023","GB00BMGR2809","Conventional","0.250","31/07/2031","75.357","75.433087","4.002250","7.456268","0.076087"
"UKT 1 01/32","17/11/2023","GB00BM8Z2T38","Conventional","1.000","31/01/2032","78.931","79.235348","4.046002","7.654477","0.304348"
"UKT 4.25 06/32","17/11/2023","GB0004893086","Conventional","4.250","07/06/2032","101.731","103.658596","4.008537","6.993510","1.927596"
"UKT 3.25 01/33","17/11/2023","GB00BMV7TC88","Conventional","3.250","31/01/2033","93.536","94.525130","4.100353","7.732340","0.989130"
"UKT 0.875 07/33","17/11/2023","GB00BM8Z2S21","Conventional","0.875","31/07/2033","74.221","74.487304","4.128177","9.017730","0.266304"
"UKT 4.625 01/34","17/11/2023","GB00BPJJKN53","Conventional","4.625","31/01/2034","103.590","104.080149","4.188948","8.074622","0.490149"
"UKT 4.5 09/34","17/11/2023","GB00B52WS153","Conventional","4.500","07/09/2034","102.570","103.484835","4.200813","8.448076","0.914835"
"UKT 0.625 07/35","17/11/2023","GB00BMGR2916","Conventional","0.625","31/07/2035","66.800","66.990217","4.258416","10.912599","0.190217"
"UKT 4.25 03/36","17/11/2023","GB0032452392","Conventional","4.250","07/03/2036","99.810","100.674011","4.269451","9.417109","0.864011"
"UKT 1.75 09/37","17/11/2023","GB00BZB26Y51","Conventional","1.750","07/09/2037","73.070","73.425769","4.369412","11.680126","0.355769"
"UKT 3.75 01/38","17/11/2023","GB00BQC4R999","Conventional","3.750","29/01/2038","92.950","94.111685","4.423807","10.626514","1.161685"
