"Title","RPI All Items Index: Jan 1987=100"
"CDID","CHAW"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","15-11-2023"
"Next release","20 December 2023"
"Important notes",
"1987","101.9"
"1988","106.9"
"1989","115.2"
"1990","126.1"
"1991","133.5"
"1992","138.5"
"1993","140.7"
"1994","144.1"
"1995","149.1"
"1996","152.7"
"1997","157.5"
"1998","162.9"
"1999","165.4"
"2000","170.3"
"2001","173.3"
"2002","176.2"
"2003","181.3"
"2004","186.7"
"2005","192.0"
"2006","198.1"
"2007","206.6"
"2008","214.8"
"2009","213.7"
"2010","223.6"
"2011","235.2"
"2012","242.7"
"2013","250.1"
"2014","256.0"
"2015","258.5"
"2016","263.1"
"2017","272.5"
"2018","281.6"
"2019","288.8"
"2020","293.1"
"2021","305.0"
"2022","340.3"
"1987 Q1","100.3"
"1987 Q2","101.9"
"1987 Q3","102.1"
"1987 Q4","103.2"
"1988 Q1","103.7"
"1988 Q2","106.2"
"1988 Q3","107.7"
"1988 Q4","109.9"
"1989 Q1","111.7"
"1989 Q2","114.9"
"1989 Q3","116.0"
"1989 Q4","118.3"
"1990 Q1","120.4"
"1990 Q2","126.0"
"1990 Q3","128.1"
"1990 Q4","130.1"
"1991 Q1","130.8"
"1991 Q2","133.6"
"1991 Q3","134.2"
"1991 Q4","135.5"
"1992 Q1","136.2"
"1992 Q2","139.1"
"1992 Q3","139.0"
"1992 Q4","139.6"
"1993 Q1","138.7"
"1993 Q2","140.9"
"1993 Q3","141.3"
"1993 Q4","141.8"
"1994 Q1","142.0"
"1994 Q2","144.5"
"1994 Q3","144.6"
"1994 Q4","145.5"
"1995 Q1","146.8"
"1995 Q2","149.5"
"1995 Q3","149.9"
"1995 Q4","150.1"
"1996 Q1","150.9"
"1996 Q2","152.8"
"1996 Q3","153.1"
"1996 Q4","154.0"
"1997 Q1","154.9"
"1997 Q2","156.9"
"1997 Q3","158.4"
"1997 Q4","159.7"
"1998 Q1","160.2"
"1998 Q2","163.2"
"1998 Q3","163.7"
"1998 Q4","164.4"
"1999 Q1","163.7"
"1999 Q2","165.5"
"1999 Q3","165.6"
"1999 Q4","166.8"
"2000 Q1","167.5"
"2000 Q2","170.6"
"2000 Q3","170.9"
"2000 Q4","172.0"
"2001 Q1","171.8"
"2001 Q2","173.9"
"2001 Q3","174.0"
"2001 Q4","173.8"
"2002 Q1","173.9"
"2002 Q2","176.0"
"2002 Q3","176.6"
"2002 Q4","178.2"
"2003 Q1","179.2"
"2003 Q2","181.3"
"2003 Q3","181.8"
"2003 Q4","182.9"
"2004 Q1","183.8"
"2004 Q2","186.3"
"2004 Q3","187.4"
"2004 Q4","189.2"
"2005 Q1","189.7"
"2005 Q2","191.9"
"2005 Q3","192.6"
"2005 Q4","193.7"
"2006 Q1","194.2"
"2006 Q2","197.6"
"2006 Q3","199.3"
"2006 Q4","201.4"
"2007 Q1","203.0"
"2007 Q2","206.3"
"2007 Q3","207.1"
"2007 Q4","209.8"
"2008 Q1","211.1"
"2008 Q2","215.3"
"2008 Q3","217.4"
"2008 Q4","215.5"
"2009 Q1","210.9"
"2009 Q2","212.6"
"2009 Q3","214.4"
"2009 Q4","216.9"
"2010 Q1","219.3"
"2010 Q2","223.5"
"2010 Q3","224.5"
"2010 Q4","227.0"
"2011 Q1","230.9"
"2011 Q2","234.9"
"2011 Q3","236.2"
"2011 Q4","238.6"
"2012 Q1","239.6"
"2012 Q2","242.2"
"2012 Q3","243.1"
"2012 Q4","246.0"
"2013 Q1","247.4"
"2013 Q2","249.7"
"2013 Q3","250.9"
"2013 Q4","252.5"
"2014 Q1","253.9"
"2014 Q2","256.0"
"2014 Q3","256.9"
"2014 Q4","257.4"
"2015 Q1","256.4"
"2015 Q2","258.5"
"2015 Q3","259.3"
"2015 Q4","260.0"
"2016 Q1","260.0"
"2016 Q2","262.2"
"2016 Q3","264.2"
"2016 Q4","265.8"
"2017 Q1","267.7"
"2017 Q2","271.5"
"2017 Q3","274.2"
"2017 Q4","276.4"
"2018 Q1","277.5"
"2018 Q2","280.6"
"2018 Q3","283.3"
"2018 Q4","284.9"
"2019 Q1","284.4"
"2019 Q2","289.0"
"2019 Q3","290.7"
"2019 Q4","291.1"
"2020 Q1","291.7"
"2020 Q2","292.5"
"2020 Q3","293.9"
"2020 Q4","294.4"
"2021 Q1","295.8"
"2021 Q2","302.3"
"2021 Q3","307.2"
"2021 Q4","314.7"
"2022 Q1","320.5"
"2022 Q2","337.2"
"2022 Q3","345.3"
"2022 Q4","358.3"
"2023 Q1","364.0"
"2023 Q2","374.8"
"2023 Q3","376.4"
"1987 JAN","100.0"
"1987 FEB","100.4"
"1987 MAR","100.6"
"1987 APR","101.8"
"1987 MAY","101.9"
"1987 JUN","101.9"
"1987 JUL","101.8"
"1987 AUG","102.1"
"1987 SEP","102.4"
"1987 OCT","102.9"
"1987 NOV","103.4"
"1987 DEC","103.3"
"1988 JAN","103.3"
"1988 FEB","103.7"
"1988 MAR","104.1"
"1988 APR","105.8"
"1988 MAY","106.2"
"1988 JUN","106.6"
"1988 JUL","106.7"
"1988 AUG","107.9"
"1988 SEP","108.4"
"1988 OCT","109.5"
"1988 NOV","110.0"
"1988 DEC","110.3"
"1989 JAN","111.0"
"1989 FEB","111.8"
"1989 MAR","112.3"
"1989 APR","114.3"
"1989 MAY","115.0"
"1989 JUN","115.4"
"1989 JUL","115.5"
"1989 AUG","115.8"
"1989 SEP","116.6"
"1989 OCT","117.5"
"1989 NOV","118.5"
"1989 DEC","118.8"
"1990 JAN","119.5"
"1990 FEB","120.2"
"1990 MAR","121.4"
"1990 APR","125.1"
"1990 MAY","126.2"
"1990 JUN","126.7"
"1990 JUL","126.8"
"1990 AUG","128.1"
"1990 SEP","129.3"
"1990 OCT","130.3"
"1990 NOV","130.0"
"1990 DEC","129.9"
"1991 JAN","130.2"
"1991 FEB","130.9"
"1991 MAR","131.4"
"1991 APR","133.1"
"1991 MAY","133.5"
"1991 JUN","134.1"
"1991 JUL","133.8"
"1991 AUG","134.1"
"1991 SEP","134.6"
"1991 OCT","135.1"
"1991 NOV","135.6"
"1991 DEC","135.7"
"1992 JAN","135.6"
"1992 FEB","136.3"
"1992 MAR","136.7"
"1992 APR","138.8"
"1992 MAY","139.3"
"1992 JUN","139.3"
"1992 JUL","138.8"
"1992 AUG","138.9"
"1992 SEP","139.4"
"1992 OCT","139.9"
"1992 NOV","139.7"
"1992 DEC","139.2"
"1993 JAN","137.9"
"1993 FEB","138.8"
"1993 MAR","139.3"
"1993 APR","140.6"
